town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,東通地域医療センター 東通村診療所,六ヶ所村地域家庭医療センター,六ヶ所村立泊診療所,白糠診療所
むつ市大字中野沢字畑沢野,むつ市,大字中野沢字畑沢野,02208038002,7.266494031241833,141.30254564965628,41.164840158326676,0.0,0.0,0.0,0.0
横浜町字林尻,横浜町,字林尻,02406001001,7.702457756544294,141.2935252041199,41.14349909413979,0.0,0.0,0.0,0.0
横浜町字獅子沢平,横浜町,字獅子沢平,02406001004,7.824504397678533,141.29418633212393,41.1305404329278,0.0,0.0,0.0,0.0
横浜町字梨木平,横浜町,字梨木平,02406001012,8.325423489066592,141.29314396357353,41.117798773170456,0.0,0.0,0.0,0.0
むつ市大字中野沢字中野沢,むつ市,大字中野沢字中野沢,02208038001,8.352001073490811,141.29794413791106,41.18160149541253,0.0,0.0,0.0,0.0
横浜町字川太郎川目,横浜町,字川太郎川目,02406001003,8.721767128419623,141.28377949441833,41.12861544444538,0.0,0.0,0.0,0.0
むつ市大字奥内字近川,むつ市,大字奥内字近川,02208037009,9.013702068872465,141.3057521714011,41.20004867673413,0.0,0.0,0.0,0.0
横浜町字下苗代川目,横浜町,字下苗代川目,02406001006,9.059688415014296,141.27898676179623,41.131160242752316,0.0,0.0,0.0,0.0
横浜町字浜田,横浜町,字浜田,02406001002,9.125023285307842,141.2767747703937,41.13971700165964,0.0,0.0,0.0,0.0
横浜町字苗代川目,横浜町,字苗代川目,02406001005,9.292602366667735,141.27606260700276,41.13159468013784,0.0,0.0,0.0,0.0
横浜町字大畑,横浜町,字大畑,02406001008,9.36879419520589,141.27590483249796,41.12852515401563,0.0,0.0,0.0,0.0
横浜町字夷ヶ沢平,横浜町,字夷ヶ沢平,02406001011,9.428853216533074,141.2773852703998,41.1218166484825,0.0,0.0,0.0,0.0
横浜町字有畑,横浜町,字有畑,02406001007,9.72126137267925,141.270864121201,41.13164191361068,0.0,0.0,0.0,0.0
横浜町字鶏沢,横浜町,字鶏沢,02406001009,9.757521694660053,141.2712465150767,41.128234681429404,0.0,0.0,0.0,0.0
横浜町字中畑,横浜町,字中畑,02406001010,9.855960206661727,141.27078656963104,41.12565100528158,0.0,0.0,0.0,0.0
横浜町字大豆田,横浜町,字大豆田,02406001014,9.974214865589714,141.27490562133625,41.11222494447367,0.0,0.0,0.0,0.0
むつ市大字奥内字奥内,むつ市,大字奥内字奥内,02208037007,10.313557861620463,141.30401889972418,41.215152388300176,98.0,0.0,0.0,0.0
横浜町字稲荷平,横浜町,字稲荷平,02406001013,10.44678184591647,141.26526434264096,41.12045582523952,0.0,0.0,0.0,0.0
横浜町字家ノ前川目,横浜町,字家ノ前川目,02406001015,10.456644222585627,141.2708740720787,41.10823683248807,0.0,38.0,0.0,0.0
むつ市大字奥内字二又道,むつ市,大字奥内字二又道,02208037006,11.43844809507791,141.29474733230563,41.222489475403194,0.0,0.0,0.0,0.0
むつ市大字奥内字浜奥内,むつ市,大字奥内字浜奥内,02208037008,11.84832050619105,141.2661482261267,41.2028810330239,0.0,0.0,0.0,0.0
むつ市大字奥内字今泉,むつ市,大字奥内字今泉,02208037005,12.664974227145295,141.2654126663953,41.21488696069188,0.0,0.0,0.0,0.0
むつ市大字奥内字金谷沢,むつ市,大字奥内字金谷沢,02208037002,13.635516755424474,141.2731639197664,41.23440045172932,158.0,0.0,0.0,0.0
むつ市大字奥内字大室平,むつ市,大字奥内字大室平,02208037001,15.555588325618075,141.24872296184208,41.24031979656923,0.0,0.0,0.0,0.0
