town_name_show,dist_km,草津こまくさ病院,桜井クリニック,草津外科内科クリニック,嬬恋村国民健康保険診療所,布施医院,六合診療所 小雨出張所,長野原町へき地診療所,六合診療所 湯久保出張所,長生病院,長野原町へき地診療所栗平出張所
嬬恋村大字三原,0.27559303932539175,69.0,114.0,0.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字鎌原,0.7344762646862799,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字芦生田,1.2471287086320793,0.0,271.0,102.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字西窪,1.8142825083895513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字門貝,2.9854456874503517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字袋倉,3.0536163863111367,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
嬬恋村大字大前,3.580220581558144,0.0,50.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字今井,4.156835232534286,253.0,379.0,66.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字古森,4.771150068932765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字羽根尾,4.957103632728269,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字応桑,5.463417805537846,269.0,364.0,0.0,91.0,0.0,0.0,157.0,0.0,0.0,0.0
長野原町大字大津,6.071753554427261,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
草津町大字前口,6.814923985349048,254.0,0.0,488.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字与喜屋,6.821874965841883,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字日影,7.479472290822005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
嬬恋村大字大笹,7.53269356144031,0.0,712.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字干俣,8.214587811805128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字太子,8.448175179940216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字長野原,9.007946155538937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字鎌原,9.38407409221672,386.0,400.0,28.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字干俣,9.433671574332905,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字小雨,10.005159997065114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字北軽井沢,10.392793772906677,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
草津町大字草津,10.44042542258196,2387.0,37.0,1563.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0
中之条町大字生須,10.590526875266603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字赤岩,10.659766119389127,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字横壁,10.67506444566915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東吾妻町大字須賀尾須賀尾一区,11.391526420584816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字林,11.597362110147332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字田代,12.21166118546757,0.0,336.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字川原畑,13.740111724718908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字川原湯,13.803059477115056,53.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東吾妻町大字松谷大平,15.743704658879274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字入山,17.809594261739115,0.0,0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0
東吾妻町大字三島,17.895018876682176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
