town_name_show,dist_km,戸田診療所,医療法人社団正仁会 加藤内科,海瀬医院,佐藤医院
沼津市戸田一色,0.2260512174928272,100.0,0.0,0.0,0.0
沼津市戸田小中島,0.2771192868791889,74.0,0.0,0.0,0.0
沼津市戸田大中島,0.2851330685256098,431.0,0.0,0.0,0.0
沼津市戸田入浜,0.39733907686345654,0.0,0.0,0.0,0.0
沼津市戸田口南,0.4411015996626817,0.0,0.0,0.0,0.0
沼津市戸田奥南,0.5188421144366641,0.0,0.0,0.0,0.0
沼津市戸田鬼川,0.6870451763172171,76.0,0.0,125.0,0.0
沼津市戸田大浦,0.9224091921821708,246.0,0.0,0.0,0.0
沼津市戸田小山田,1.1917760322262458,175.0,0.0,0.0,0.0
沼津市戸田御浜,1.3298522514523472,105.0,0.0,0.0,0.0
沼津市戸田平戸,1.3524004005230033,0.0,0.0,17.0,0.0
沼津市戸田上野,1.400447098931934,98.0,0.0,0.0,0.0
沼津市戸田大門,1.6597363377223862,816.0,0.0,0.0,0.0
沼津市戸田中上,1.9279360761773208,125.0,0.0,0.0,0.0
沼津市戸田大上,2.575090686963428,50.0,0.0,0.0,0.0
沼津市井田,2.6637041364164094,0.0,0.0,0.0,0.0
沼津市戸田舟山,2.7759432648248428,143.0,0.0,0.0,0.0
沼津市戸田新田,4.11201992078732,0.0,0.0,0.0,0.0
伊豆市小土肥,5.135335466997929,0.0,0.0,0.0,0.0
沼津市西浦江梨,5.525035000365397,0.0,0.0,0.0,0.0
伊豆市小土肥,5.5811078855331,0.0,0.0,0.0,0.0
伊豆市小土肥,5.722639495481883,0.0,93.0,0.0,0.0
伊豆市小土肥,5.8959447560104525,0.0,0.0,0.0,0.0
伊豆市小土肥,5.992400103459944,0.0,0.0,0.0,0.0
沼津市西浦古宇,6.120620899881929,0.0,0.0,0.0,0.0
沼津市西浦久料,6.407926688302451,0.0,0.0,0.0,0.0
伊豆市土肥,6.512396219692397,0.0,425.0,0.0,0.0
沼津市西浦足保,6.689218977311326,0.0,0.0,0.0,0.0
伊豆市土肥,6.8135032374408295,0.0,78.0,0.0,0.0
伊豆市土肥,6.914352532739527,0.0,0.0,0.0,0.0
伊豆市土肥,7.188314080928171,0.0,0.0,0.0,0.0
伊豆市土肥,7.221093579149989,0.0,0.0,0.0,0.0
伊豆市土肥,7.389735511608217,0.0,0.0,0.0,0.0
伊豆市土肥,7.548940828070498,0.0,130.0,0.0,0.0
沼津市西浦立保,7.745202906906039,0.0,0.0,103.0,0.0
伊豆市土肥,7.818645523567536,0.0,1073.0,0.0,0.0
伊豆市八木沢,8.20053967063721,0.0,188.0,0.0,0.0
伊豆市土肥,8.217294771347378,0.0,0.0,0.0,0.0
伊豆市土肥,8.218520157456837,0.0,0.0,0.0,0.0
伊豆市修善寺,8.532330160353622,0.0,0.0,0.0,0.0
伊豆市土肥,8.54217984474037,0.0,0.0,0.0,0.0
伊豆市土肥,8.553250846536624,0.0,0.0,0.0,0.0
伊豆市土肥,8.795703923835894,0.0,61.0,0.0,0.0
沼津市西浦平沢,8.887411060791889,0.0,0.0,25.0,0.0
伊豆市八木沢,8.959733675284324,0.0,0.0,0.0,0.0
伊豆市八木沢,9.021070334451888,0.0,0.0,0.0,0.0
沼津市西浦久連,9.138096192222628,0.0,0.0,89.0,0.0
伊豆市修善寺,9.14532959924873,0.0,0.0,0.0,0.0
沼津市西浦河内,9.145470631243922,0.0,0.0,0.0,0.0
伊豆市大沢,9.251161874528243,0.0,0.0,0.0,0.0
伊豆市大沢,9.395774324180199,0.0,0.0,0.0,0.0
伊豆市八木沢,9.409860184469197,0.0,0.0,0.0,0.0
伊豆市八木沢,9.545842775878603,0.0,0.0,0.0,0.0
伊豆市土肥,9.6948779894347,0.0,0.0,0.0,0.0
伊豆市上船原,9.817875240984993,0.0,0.0,0.0,0.0
伊豆市大平柿木,9.819833018907417,0.0,0.0,0.0,0.0
伊豆市八木沢,9.947040413021842,0.0,0.0,0.0,0.0
沼津市西浦木負,10.444980926974205,0.0,0.0,61.0,0.0
伊豆市堀切,11.45240461311755,0.0,0.0,0.0,0.0
伊豆市堀切,12.039560005658096,0.0,0.0,0.0,0.0
